location_name,date,rainfall_mm_24h,river_discharge_m3s,risk_level,label_source
"Lagos, Nigeria",2010-11-12,2.6,276.97,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-13,2.3,251.35,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-14,0.6,243.91,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-15,0.2,247.31,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-16,2.3,242.22,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-17,2.6,223.91,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-18,1.4,202.24,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-19,0.6,184.78,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-20,7.4,176.01,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-21,7.1,176.83,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-22,1.5,179.3,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-23,0.4,181.81,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-24,0.7,187.36,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-25,2.2,189.55,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-26,4.4,184.35,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-27,1.7,175.2,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-28,6.7,167.66,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-29,0.4,164.2,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-30,0.7,162.31,low,default_low_unconfirmed
"Lagos, Nigeria",2010-12-01,1.1,163.82,low,default_low_unconfirmed
"Lagos, Nigeria",2010-12-02,1.0,164.96,low,default_low_unconfirmed
"Lagos, Nigeria",2010-12-03,2.2,162.68,low,default_low_unconfirmed
"Lagos, Nigeria",2010-12-04,2.0,157.49,low,default_low_unconfirmed
"Lagos, Nigeria",2010-12-05,1.0,151.41,low,default_low_unconfirmed
"Lagos, Nigeria",2010-12-06,0.6,146.23,low,default_low_unconfirmed
"Lagos, Nigeria",2010-12-07,0.5,142.55,low,default_low_unconfirmed
"Lagos, Nigeria",2010-12-08,2.2,140.25,low,default_low_unconfirmed
"Lagos, Nigeria",2010-12-09,0.0,139.28,low,default_low_unconfirmed
"Lagos, Nigeria",2010-12-10,0.1,138.0,low,default_low_unconfirmed
